kW;día;hora;temperatura;año;mes;estacion;tipo_dia
37,056;21;8;21,15;2019;1;verano;habil
34,176;21;9;22,15;2019;1;verano;habil
36,432;21;10;23,6;2019;1;verano;habil
47,568;21;11;25,15;2019;1;verano;habil
55,248;21;12;26,6;2019;1;verano;habil
69,744;21;13;27,85;2019;1;verano;habil
84;21;14;29,15;2019;1;verano;habil
86,784;21;15;30,45;2019;1;verano;habil
84,144;21;16;31,2;2019;1;verano;habil
92,688;21;17;32,05;2019;1;verano;habil
87,792;21;18;32,55;2019;1;verano;habil
82,896;21;19;32,4;2019;1;verano;habil
67,488;21;20;32;2019;1;verano;habil
60,96;21;21;30,9;2019;1;verano;habil
70,416;21;22;29,6;2019;1;verano;habil
73,44;21;23;28,4;2019;1;verano;habil
77,952;22;0;28,05;2019;1;verano;habil
77,664;22;1;27,25;2019;1;verano;habil
73,632;22;2;26,65;2019;1;verano;habil
72,144;22;3;25,85;2019;1;verano;habil
;22;4;25,7;2019;1;verano;habil
65,328;22;5;25,55;2019;1;verano;habil
57,888;22;6;24,65;2019;1;verano;habil
43,488;22;7;24;2019;1;verano;habil
43,056;22;8;24,7;2019;1;verano;habil
42,048;22;9;27;2019;1;verano;habil
46,8;22;10;28,15;2019;1;verano;habil
63,456;22;11;29,35;2019;1;verano;habil
73,776;22;12;30,6;2019;1;verano;habil
84,096;22;13;31,75;2019;1;verano;habil
104,352;22;14;32,6;2019;1;verano;habil
115,008;22;15;33,55;2019;1;verano;habil
112,992;22;16;34,55;2019;1;verano;habil
110,544;22;17;35;2019;1;verano;habil
101,184;22;18;35,2;2019;1;verano;habil
82,752;22;19;35,35;2019;1;verano;habil
66,912;22;20;35,05;2019;1;verano;habil
61,728;22;21;34,25;2019;1;verano;habil
78,672;22;22;33,05;2019;1;verano;habil
;22;23;31,95;2019;1;verano;habil
111,024;23;0;31,7;2019;1;verano;habil
111,696;23;1;31,75;2019;1;verano;habil
102,432;23;2;31,35;2019;1;verano;habil
97,392;23;3;30,8;2019;1;verano;habil
95,136;23;4;29,75;2019;1;verano;habil
93,936;23;5;28,25;2019;1;verano;habil
84,816;23;6;27,4;2019;1;verano;habil
;23;7;27,6;2019;1;verano;habil
64,8;23;8;27,05;2019;1;verano;habil
58,8;23;9;27;2019;1;verano;habil
;23;10;27,75;2019;1;verano;habil
61,44;23;11;28,75;2019;1;verano;habil
;23;12;29,4;2019;1;verano;habil
92,352;23;13;30,6;2019;1;verano;habil
109,872;23;14;31,75;2019;1;verano;habil
111,216;23;15;32,55;2019;1;verano;habil
111,216;23;16;33,4;2019;1;verano;habil
110,208;23;17;33,8;2019;1;verano;habil
110,784;23;18;34,15;2019;1;verano;habil
94,416;23;19;34,25;2019;1;verano;habil
65,952;23;20;33,7;2019;1;verano;habil
79,344;23;21;33;2019;1;verano;habil
84,864;23;22;32,45;2019;1;verano;habil
98,112;23;23;31,9;2019;1;verano;habil
109,392;24;0;30,7;2019;1;verano;habil
105,744;24;1;30,05;2019;1;verano;habil
103,392;24;2;29,9;2019;1;verano;habil
102,432;24;3;29,9;2019;1;verano;habil
99,744;24;4;27,75;2019;1;verano;habil
95,328;24;5;26,75;2019;1;verano;habil
91,968;24;6;25,5;2019;1;verano;habil
76,848;24;7;24,85;2019;1;verano;habil
66,912;24;8;24,35;2019;1;verano;habil
66,24;24;9;25,6;2019;1;verano;habil
69,888;24;10;26,8;2019;1;verano;habil
76,464;24;11;27,95;2019;1;verano;habil
84,672;24;12;29,7;2019;1;verano;habil
105,696;24;13;31,75;2019;1;verano;habil
114,384;24;14;33,15;2019;1;verano;habil
112,848;24;15;34,6;2019;1;verano;habil
110,592;24;16;35,65;2019;1;verano;habil
109,536;24;17;36,05;2019;1;verano;habil
107,376;24;18;35,85;2019;1;verano;habil
93,888;24;19;35,1;2019;1;verano;habil
78,48;24;20;31,85;2019;1;verano;habil
94,368;24;21;30,6;2019;1;verano;habil
93,696;24;22;30,2;2019;1;verano;habil
100,56;24;23;28,9;2019;1;verano;habil
106,848;25;0;28;2019;1;verano;habil
100;25;1;25,7;2019;1;verano;habil
66,096;25;2;24,85;2019;1;verano;habil
96,5;25;3;26,55;2019;1;verano;habil
61,248;25;4;27,6;2019;1;verano;habil
61,104;25;5;28,45;2019;1;verano;habil
62,064;25;6;28,15;2019;1;verano;habil
56,592;25;7;26,45;2019;1;verano;habil
;25;8;24,85;2019;1;verano;habil
65,424;25;9;27,25;2019;1;verano;habil
66,576;25;10;28,95;2019;1;verano;habil
76,464;25;11;30,45;2019;1;verano;habil
86,592;25;12;32,15;2019;1;verano;habil
99,696;25;13;33,65;2019;1;verano;habil
;25;14;34,95;2019;1;verano;habil
118,224;25;15;36,35;2019;1;verano;habil
