kW;temperatura;año;mes;hora;día;estacion;tipo_dia
104,352;32,6;2019;1;14;22;verano;habil
115,008;33,55;2019;1;15;22;verano;habil
112,992;34,55;2019;1;16;22;verano;habil
110,544;35;2019;1;17;22;verano;habil
101,184;35,2;2019;1;18;22;verano;habil
82,752;35,35;2019;1;19;22;verano;habil
66,912;35,05;2019;1;20;22;verano;habil
61,728;34,25;2019;1;21;22;verano;habil
78,672;33,05;2019;1;22;22;verano;habil
87,024;31,95;2019;1;23;22;verano;habil
111,024;31,7;2019;1;0;23;verano;habil
111,696;31,75;2019;1;1;23;verano;habil
102,432;31,35;2019;1;2;23;verano;habil
97,392;30,8;2019;1;3;23;verano;habil
95,136;29,75;2019;1;4;23;verano;habil
93,936;28,25;2019;1;5;23;verano;habil
84,816;27,4;2019;1;6;23;verano;habil
67,2;27,6;2019;1;7;23;verano;habil
64,8;27,05;2019;1;8;23;verano;habil
58,8;27;2019;1;9;23;verano;habil
56,976;27,75;2019;1;10;23;verano;habil
61,44;28,75;2019;1;11;23;verano;habil
75,216;29,4;2019;1;12;23;verano;habil
92,352;30,6;2019;1;13;23;verano;habil
109,872;31,75;2019;1;14;23;verano;habil
111,216;32,55;2019;1;15;23;verano;habil
111,216;33,4;2019;1;16;23;verano;habil
110,208;33,8;2019;1;17;23;verano;habil
110,784;34,15;2019;1;18;23;verano;habil
94,416;34,25;2019;1;19;23;verano;habil
65,952;33,7;2019;1;20;23;verano;habil
79,344;33;2019;1;21;23;verano;habil
84,864;32,45;2019;1;22;23;verano;habil
98,112;31,9;2019;1;23;23;verano;habil
109,392;30,7;2019;1;0;24;verano;habil
105,744;30,05;2019;1;1;24;verano;habil
103,392;29,9;2019;1;2;24;verano;habil
102,432;29,9;2019;1;3;24;verano;habil
99,744;27,75;2019;1;4;24;verano;habil
95,328;26,75;2019;1;5;24;verano;habil
91,968;25,5;2019;1;6;24;verano;habil
76,848;24,85;2019;1;7;24;verano;habil
66,912;24,35;2019;1;8;24;verano;habil
66,24;25,6;2019;1;9;24;verano;habil
69,888;26,8;2019;1;10;24;verano;habil
76,464;27,95;2019;1;11;24;verano;habil
84,672;29,7;2019;1;12;24;verano;habil
105,696;31,75;2019;1;13;24;verano;habil
114,384;33,15;2019;1;14;24;verano;habil
112,848;34,6;2019;1;15;24;verano;habil
110,592;35,65;2019;1;16;24;verano;habil
109,536;36,05;2019;1;17;24;verano;habil
107,376;35,85;2019;1;18;24;verano;habil
93,888;35,1;2019;1;19;24;verano;habil
78,48;31,85;2019;1;20;24;verano;habil
94,368;30,6;2019;1;21;24;verano;habil
93,696;30,2;2019;1;22;24;verano;habil
100,56;28,9;2019;1;23;24;verano;habil
106,848;28;2019;1;0;25;verano;habil
100;25,7;2019;1;1;25;verano;habil
66,096;24,85;2019;1;2;25;verano;habil
96,5;26,55;2019;1;3;25;verano;habil
61,248;27,6;2019;1;4;25;verano;habil
61,104;28,45;2019;1;5;25;verano;habil
62,064;28,15;2019;1;6;25;verano;habil
56,592;26,45;2019;1;7;25;verano;habil
49,824;24,85;2019;1;8;25;verano;habil
65,424;27,25;2019;1;9;25;verano;habil
66,576;28,95;2019;1;10;25;verano;habil
76,464;30,45;2019;1;11;25;verano;habil
86,592;32,15;2019;1;12;25;verano;habil
99,696;33,65;2019;1;13;25;verano;habil
104,736;34,95;2019;1;14;25;verano;habil
118,224;36,35;2019;1;15;25;verano;habil
119,328;37,4;2019;1;16;25;verano;habil
107,664;37,45;2019;1;17;25;verano;habil
106,176;37,45;2019;1;18;25;verano;habil
99,024;37,25;2019;1;19;25;verano;habil
